Video_ID,Title,Category,Published_Date,Views,Likes,Dislikes,Comments,Shares,Subscribers_Gained,Subscribers_Lost,Watch_Time_Minutes,Average_Percent_Watched,Average_View_Duration,Impressions,Click_Through_Rate,Traffic_Source,Device_Type,Audience_Country,Revenue,Gender,YouTuber_Name
VID0027,Cooking with Flair,Technology,27-01-2023,267997,40294,4912,857,1630,441,202,7947,29.72,446,501138,0.21,External,Desktop,USA,140.81,Male,CarCritic
VID0028,Healthy Living Tips,Entertainment,28-01-2023,488829,8633,2928,4886,377,199,410,17554,49.87,60,610941,3.07,External,Tablet,Germany,917.3,Male,GadgetUnboxer
VID0029,Fitness Routines for Beginners,Gaming,29-01-2023,121900,32681,1829,7485,1546,156,480,9266,65.6,397,618404,6.27,Direct,Tablet,Germany,459.44,Female,TechGuru
VID0030,Epic Gaming Adventure,Gaming,30-01-2023,483615,5349,575,383,579,486,20,10030,79.3,588,822217,4.75,Suggested,Desktop,India,77.67,Male,TravelLover
VID0031,Educational Insights: Math,Technology,31-01-2023,416008,19301,929,4334,890,859,38,3385,19.36,137,256849,1.25,External,Desktop,Canada,959.73,Female,StreetEats
VID0032,Thrilling Game Walkthrough,Gaming,01-02-2023,60129,9786,3759,4290,721,133,222,3195,96.61,447,411249,3.74,Search,Desktop,India,878.99,Male,InspireNow
VID0033,Car Review: Latest Model,Gaming,02-02-2023,238091,46977,3699,2725,1219,911,101,16804,90.12,427,950628,0.35,Search,Desktop,Germany,754.68,Female,SmartTechie
VID0034,Car Review: Latest Model,Education,03-02-2023,206550,32107,1463,6204,880,147,45,18805,34.33,301,571784,6.46,External,Desktop,India,933.47,Female,TravelLover
VID0035,Inspirational Life Stories,Technology,04-02-2023,245883,761,3275,6111,1121,335,65,655,84.05,145,309591,8.94,Search,Desktop,Germany,220.13,Female,CarCritic
VID0036,Epic Gaming Adventure,Lifestyle,05-02-2023,115130,44943,4928,4251,604,70,90,5532,56.65,285,421672,8.86,External,Desktop,Canada,836.37,Male,GadgetUnboxer
VID0037,Educational Insights: Math,Technology,06-02-2023,461514,30237,1054,922,21,232,163,1486,51.56,110,837962,7.03,Search,Desktop,USA,689.99,Female,ScienceNerd
VID0038,Gaming Secrets Unveiled,Lifestyle,07-02-2023,426203,47656,1900,2915,1473,333,458,11339,38.3,157,452313,4.71,External,Tablet,USA,869.76,Female,CalmWithYoga
VID0039,Epic Gaming Adventure,Education,08-02-2023,147922,42928,1457,7957,1195,810,110,10719,62.29,264,829375,5.17,External,Desktop,India,796.91,Male,CarCritic
VID0040,Mind-Blowing Science Experiments,Entertainment,09-02-2023,406328,48704,1399,3046,382,665,337,6954,75.69,582,653132,1.46,External,Desktop,Germany,346.5,Female,Fashionista
VID0041,Fashion Hacks for 2023,Gaming,10-02-2023,122789,10626,3415,9166,133,89,122,10296,46.98,210,230185,3.48,Search,Tablet,USA,774.4,Male,CarCritic
VID0042,Thrilling Game Walkthrough,Education,11-02-2023,156130,3474,442,1230,1449,333,192,16133,66.63,186,328108,1.96,External,Tablet,Germany,262.46,Female,LifeCoachAnna
VID0043,Inspirational Life Stories,Gaming,12-02-2023,177492,25692,3650,7647,1048,198,446,7737,72.94,483,652807,8.23,Direct,Mobile,Canada,328.59,Male,TravelLover
VID0044,Fashion Hacks for 2023,Entertainment,13-02-2023,39890,29082,4652,4933,502,160,98,13062,74,53,135524,9.16,External,Mobile,India,107.91,Male,GamerKing
VID0045,Thrilling Game Walkthrough,Entertainment,14-02-2023,67017,307,1178,9555,1208,537,290,15040,14.68,502,974884,5.42,Suggested,Desktop,Germany,935.08,Female,WanderlustJen
VID0046,Thrilling Game Walkthrough,Education,15-02-2023,179376,35533,4458,3940,1108,120,158,10718,87.38,429,183773,7.3,Suggested,Desktop,India,291,Male,GamerKing
VID0047,Gaming Secrets Unveiled,Entertainment,16-02-2023,164993,23297,1257,6483,1590,300,411,3893,51.24,163,645242,1.3,Direct,Mobile,Germany,520.62,Male,ScienceNerd
VID0048,Gaming Secrets Unveiled,Lifestyle,17-02-2023,133596,33500,3634,203,1786,723,102,7473,33.62,450,124944,6.12,External,Mobile,Germany,391.33,Female,CarCritic
VID0049,Street Food Tasting,Entertainment,18-02-2023,101424,3183,1841,160,143,574,384,2613,31.76,242,374819,7.06,Suggested,TV,Canada,959.93,Male,FitnessPro
VID0050,Top Tech Innovations,Gaming,19-02-2023,278192,29428,2309,8960,1886,962,280,2427,53.47,511,305104,4.58,External,TV,India,335.05,Male,AdventureSeeker
VID0051,Thrilling Game Walkthrough,Gaming,20-02-2023,429327,46579,910,3748,1933,435,42,8909,89.81,377,154368,2.51,Suggested,Desktop,UK,778.55,Female,InspireNow
VID0052,Hidden Travel Destinations,Gaming,21-02-2023,169976,42991,4340,6718,1702,67,485,18649,44.05,195,163318,8.79,Search,TV,Germany,855.42,Male,CalmWithYoga
VID0053,Cooking with Flair,Gaming,22-02-2023,318056,20203,4637,2581,1435,764,83,19792,77.48,377,480501,7.45,Search,Mobile,Germany,435.61,Male,InspireNow
VID0054,Educational Insights: Math,Lifestyle,23-02-2023,35008,39991,4009,1093,223,921,450,6552,18.71,427,515,9.01,Direct,Desktop,USA,378.17,Female,TravelLover
VID0055,Car Review: Latest Model,Technology,24-02-2023,394276,10854,2169,4500,219,458,190,7742,52.85,464,836689,8.2,Direct,Tablet,India,747.75,Male,ChefAntonio
VID0056,Home Gardening Tips,Education,25-02-2023,206738,34547,2172,8799,178,513,50,14535,99.25,250,157529,9.9,External,Tablet,UK,912.9,Male,DIYExpert
VID0057,Top Tech Innovations,Gaming,26-02-2023,84559,16001,123,5710,1654,397,385,1092,79.34,337,606329,2,Direct,Mobile,Canada,754.93,Male,WanderlustJen
VID0058,Yoga for Stress Relief,Entertainment,27-02-2023,56337,33104,3158,9732,432,619,209,5524,28.95,495,546080,0.96,External,TV,UK,227.13,Male,WanderlustJen
VID0059,Epic Gaming Adventure,Gaming,28-02-2023,373760,7546,785,2875,264,285,125,4481,55.13,128,385338,3.44,Search,Tablet,Canada,888.31,Female,EduMath
VID0060,Top Tech Innovations,Entertainment,01-03-2023,276494,37311,2416,3191,953,560,491,19658,31.03,271,163448,1.38,Search,TV,UK,387.58,Female,DIYExpert
VID0061,Travel Vlog: Europe,Entertainment,02-03-2023,25354,48331,796,1837,428,139,447,4882,46.86,187,716587,5.28,Suggested,Tablet,UK,576.23,Male,GameMaster
VID0062,Street Food Tasting,Gaming,03-03-2023,46186,29401,4172,689,1685,729,457,7560,80.21,583,47546,6.37,External,TV,India,831.44,Female,WanderlustJen
VID0063,Educational Insights: Math,Lifestyle,04-03-2023,29145,26216,4154,3759,415,555,68,19562,79.41,256,539605,5.83,Search,Tablet,USA,188.39,Female,FitnessPro
VID0064,Top Tech Innovations,Entertainment,05-03-2023,428236,41423,1936,2103,1476,928,264,3083,30.53,452,10259,2.67,Search,Tablet,UK,784.51,Female,Fashionista
VID0065,Yoga for Stress Relief,Entertainment,06-03-2023,87123,18852,2156,365,726,780,257,14282,93,101,180004,9.1,External,Desktop,Germany,596.16,Male,ScienceNerd
VID0066,Gaming Secrets Unveiled,Gaming,07-03-2023,207258,32476,3807,8092,196,589,417,2623,63.33,272,269056,0.31,Suggested,Desktop,Germany,893.34,Female,FitnessPro
VID0067,Educational Insights: Math,Entertainment,08-03-2023,217541,16769,1301,4172,1577,727,187,9777,44.19,559,451473,3.55,Suggested,Mobile,Germany,171.97,Male,ChefAntonio
VID0068,Car Review: Latest Model,Entertainment,09-03-2023,21581,33016,4163,6033,1076,893,229,10392,55.17,74,283148,7.22,Suggested,Tablet,USA,420.68,Female,Fashionista
VID0069,Unboxing Latest Gadgets,Gaming,10-03-2023,89929,13495,3140,2378,479,609,188,15189,64.46,501,371144,7.69,Suggested,TV,UK,832.84,Male,FitnessPro
VID0070,Top Tech Innovations,Gaming,11-03-2023,286195,20521,3236,1205,1466,747,414,4681,60.39,400,271151,4.22,Search,Tablet,Canada,19.23,Male,GadgetUnboxer
VID0071,Car Review: Latest Model,Education,12-03-2023,52474,26442,2352,4988,1353,281,9,12007,53.78,121,21550,0.27,External,TV,Canada,112.2,Female,EduMath
VID0072,Fitness Routines for Beginners,Lifestyle,13-03-2023,92748,4995,1932,5669,1274,660,113,5709,55.44,51,398536,6.22,External,TV,India,990.57,Male,GameMaster
VID0073,Epic Gaming Adventure,Lifestyle,14-03-2023,126995,11123,2721,2735,1830,923,75,18485,25.88,201,925839,0.72,Search,Tablet,USA,280.39,Male,GamerKing
VID0074,Healthy Living Tips,Entertainment,15-03-2023,246690,10799,364,9867,889,815,163,17871,83.15,221,486883,1.17,Search,TV,UK,975.54,Male,Fashionista
VID0075,Cooking with Flair,Lifestyle,16-03-2023,332770,9815,4916,8490,1806,995,84,11475,58.76,106,100653,6.54,Search,Mobile,Germany,182.53,Female,TravelLover
VID0076,Hidden Travel Destinations,Entertainment,17-03-2023,270104,19269,2390,956,1990,935,48,17514,21.8,310,800519,3.19,Direct,Desktop,USA,361.09,Male,WanderlustJen
VID0077,Street Food Tasting,Education,18-03-2023,429988,16263,946,9306,924,577,494,10057,78.95,393,231829,3.55,External,TV,USA,752.87,Female,CarCritic
VID0078,Hidden Travel Destinations,Gaming,19-03-2023,415736,5882,1377,6623,122,745,325,13055,93.92,208,582520,4.92,External,Tablet,UK,657.78,Male,TravelLover
VID0079,Car Review: Latest Model,Gaming,20-03-2023,181553,22741,1439,1474,1902,456,495,1320,95.26,267,576709,9.79,External,Desktop,India,581.12,Male,AdventureSeeker
VID0080,Travel Vlog: Europe,Gaming,21-03-2023,37408,18892,3180,4460,1410,86,176,13263,43.21,164,439215,9.66,Suggested,Mobile,India,529.9,Male,DIYExpert
VID0081,Top Tech Innovations,Lifestyle,22-03-2023,357150,49592,4857,7002,1362,78,386,13389,22.2,309,642522,4.22,Search,TV,India,843.44,Female,DIYExpert
VID0082,Fashion Hacks for 2023,Education,23-03-2023,260568,35685,340,6396,777,204,457,12637,56.66,48,917036,2.73,Search,TV,Germany,234.95,Male,LifeCoachAnna
VID0083,Car Review: Latest Model,Lifestyle,24-03-2023,320278,30782,2989,2828,347,790,388,9910,20.13,400,138412,3.1,Search,Desktop,Germany,442.47,Female,GameMaster
VID0084,Thrilling Game Walkthrough,Lifestyle,25-03-2023,152563,47964,382,2850,28,336,493,9555,94.06,141,497086,2.76,Direct,TV,UK,155.45,Male,LifeCoachAnna
VID0085,Fitness Routines for Beginners,Education,26-03-2023,133413,18980,1556,2964,974,253,217,9163,26.52,250,983081,5.37,External,Tablet,India,595.94,Female,GamerKing
VID0086,Cooking with Flair,Education,27-03-2023,176695,38167,299,4594,34,303,188,934,32.75,333,556228,6.11,Search,Desktop,UK,250.54,Female,WanderlustJen
VID0087,Top Tech Innovations,Education,28-03-2023,91327,42785,138,9141,1541,379,468,1824,46.6,354,559971,4.94,Direct,Desktop,India,333.84,Male,TravelLover
VID0088,Healthy Living Tips,Education,29-03-2023,394554,18173,358,6644,1419,129,492,2513,44.48,466,883104,4.14,Search,TV,USA,471.25,Male,GamerKing
VID0089,Unboxing Latest Gadgets,Gaming,30-03-2023,203503,36135,4931,2850,622,595,345,9605,81.52,467,658249,2.19,Suggested,Mobile,Canada,26.77,Female,StreetEats
VID0090,Fashion Hacks for 2023,Technology,31-03-2023,144326,37274,1522,165,1317,275,229,4598,51.07,199,973080,4.88,External,Mobile,Canada,91.94,Male,ScienceNerd
VID0091,Car Review: Latest Model,Technology,01-04-2023,183932,24937,3456,919,588,698,254,2205,25.37,404,639303,3.48,Direct,Mobile,India,685.93,Male,GameMaster
VID0092,Yoga for Stress Relief,Education,02-04-2023,12344,17926,1627,8305,1372,557,235,2668,34.05,586,385827,5.46,Search,Mobile,UK,428.97,Female,GadgetUnboxer
VID0093,Fitness Routines for Beginners,Technology,03-04-2023,395966,25081,1303,3504,1170,898,25,9430,55.82,410,328943,6.78,External,Desktop,Germany,864.79,Female,AdventureSeeker
VID0094,DIY Home Makeover,Technology,04-04-2023,448972,10482,1134,991,1090,182,71,16693,23.27,43,745321,6.37,Direct,Desktop,India,694.67,Female,ScienceNerd
VID0095,Home Gardening Tips,Education,05-04-2023,68957,4537,2186,6047,903,267,260,5011,65.05,529,640291,4.68,External,TV,India,8.1,Male,InspireNow
VID0096,Gaming Secrets Unveiled,Technology,06-04-2023,106423,5535,3170,3839,519,807,253,18704,60.92,420,39523,5.6,External,Mobile,Germany,616.71,Male,Fashionista
VID0097,Mind-Blowing Science Experiments,Lifestyle,07-04-2023,321197,24919,3835,1258,121,321,270,16717,74.32,578,181601,2.92,Suggested,Mobile,India,93.72,Female,ChefAntonio
VID0098,Cooking with Flair,Entertainment,08-04-2023,465071,36975,2151,7609,339,511,122,892,94.39,594,302585,0.34,External,TV,USA,780.93,Male,TechGuru
VID0099,Top Tech Innovations,Entertainment,09-04-2023,147968,32082,1237,8706,174,611,143,14295,92.1,559,447666,6.29,Direct,TV,Germany,991.51,Female,LifeCoachAnna
VID0100,Inspirational Life Stories,Education,10-04-2023,187833,33428,3735,4804,1923,77,256,14001,95.15,521,908609,2.6,External,TV,USA,531.2,Male,GardenGuru
VID0101,Inspirational Life Stories,Gaming,11-04-2023,194624,12429,2834,67,1714,783,143,15862,32.02,579,742819,6.72,Direct,Tablet,Canada,682.78,Female,GameMaster
VID0102,Gaming Secrets Unveiled,Education,12-04-2023,252147,25269,4260,9788,596,338,420,19594,21.84,414,76554,7.5,External,TV,Germany,237.31,Female,WanderlustJen
VID0103,DIY Home Makeover,Gaming,13-04-2023,78454,22032,998,5660,450,673,258,18650,37.2,225,328007,9.17,Search,TV,Germany,437.6,Female,ChefAntonio
VID0104,Mind-Blowing Science Experiments,Entertainment,14-04-2023,258594,34694,2567,4478,556,555,435,8626,90.56,329,502272,9.59,Suggested,Tablet,UK,856.1,Female,GardenGuru
VID0105,Educational Insights: Math,Education,15-04-2023,353744,11521,1307,8210,1159,508,46,15998,97.48,576,586530,0.2,Search,Mobile,UK,167.42,Female,WanderlustJen
VID0106,Thrilling Game Walkthrough,Lifestyle,16-04-2023,385876,45133,656,3521,1878,237,350,1314,87.34,337,491612,9.9,Suggested,Desktop,Germany,265.54,Male,CalmWithYoga
VID0107,Gaming Secrets Unveiled,Technology,17-04-2023,422151,7729,2660,572,1039,133,12,15446,19.9,281,570003,6.86,Direct,Mobile,Canada,445.43,Female,LifeCoachAnna
VID0108,Inspirational Life Stories,Gaming,18-04-2023,38641,8425,2211,7082,1356,972,375,312,95.27,37,834789,6.47,Suggested,Desktop,India,712.25,Female,CalmWithYoga
VID0109,Unboxing Latest Gadgets,Technology,19-04-2023,30711,28595,1909,7832,1218,191,207,1758,48.1,237,842408,0.25,External,Desktop,UK,375.88,Female,LifeCoachAnna
VID0110,Street Food Tasting,Technology,20-04-2023,333486,31850,3730,5395,1519,355,310,12370,10.84,160,159745,8.63,External,TV,Canada,927.73,Female,ScienceNerd
VID0111,Yoga for Stress Relief,Education,21-04-2023,370040,29719,2046,2258,8,277,234,14129,49.82,55,403111,1.54,Search,TV,Canada,94.46,Female,Fashionista
VID0112,Car Review: Latest Model,Technology,22-04-2023,144254,40561,3162,6039,1851,17,148,5124,14.15,483,846700,8.39,Suggested,Tablet,UK,370.8,Female,GameMaster
VID0113,Inspirational Life Stories,Lifestyle,23-04-2023,88833,8364,1140,650,333,523,321,13139,58.95,215,241943,0.25,Direct,Mobile,India,708.95,Female,FitnessPro
VID0114,Healthy Living Tips,Technology,24-04-2023,319420,12786,266,5741,1356,179,437,5241,40.47,513,478459,6.5,Direct,Mobile,UK,225.99,Female,StreetEats
VID0115,Yoga for Stress Relief,Education,25-04-2023,282685,46584,1845,6838,1016,122,154,18278,52.61,80,104091,4.4,External,Desktop,Canada,656.41,Male,ChefAntonio
VID0116,Top Tech Innovations,Lifestyle,26-04-2023,357601,24326,1708,2587,326,245,165,6088,65.19,34,249545,2.09,Direct,TV,USA,164.22,Male,TechGuru
VID0117,Hidden Travel Destinations,Entertainment,27-04-2023,476526,6821,3630,7876,14,733,89,13877,88.19,189,571017,1.16,External,TV,UK,55.98,Female,AdventureSeeker
VID0118,Gaming Secrets Unveiled,Technology,28-04-2023,45813,20709,3211,3262,838,372,185,5678,69.57,237,944643,4.46,External,Mobile,Canada,121.02,Male,CalmWithYoga
VID0119,Epic Gaming Adventure,Education,29-04-2023,169270,7473,2293,1338,1637,50,317,15151,49.06,286,898638,1.32,External,Tablet,UK,929.98,Male,FitnessPro
VID0120,Street Food Tasting,Entertainment,30-04-2023,140892,38775,3732,4996,225,999,357,3945,83.75,234,63083,4.92,Search,TV,Canada,551.75,Male,WanderlustJen
VID0121,Car Review: Latest Model,Entertainment,01-05-2023,287214,48995,3829,5780,1448,70,173,11982,91.5,40,256431,6.29,Search,Tablet,India,796.35,Female,GamerKing
VID0122,Thrilling Game Walkthrough,Gaming,02-05-2023,463984,29037,1510,2827,1813,479,216,14347,20.78,37,160496,8.29,External,Mobile,Canada,332.65,Male,GardenGuru
VID0123,Healthy Living Tips,Lifestyle,03-05-2023,405338,5756,475,5232,1431,559,394,11584,57.87,438,650799,6.82,External,Mobile,Germany,592.66,Female,GamerKing
VID0124,Top Tech Innovations,Technology,04-05-2023,343703,9084,976,2217,112,18,455,478,35.61,61,466685,0.75,External,Tablet,USA,494.95,Male,GamerKing
VID0125,Cooking with Flair,Education,05-05-2023,205615,30084,1207,3539,1451,773,263,3393,14.24,569,292748,3.14,Direct,TV,Canada,945.74,Male,ScienceNerd
VID0126,Mind-Blowing Science Experiments,Gaming,06-05-2023,477657,8386,1960,7845,0,83,96,19813,70.17,416,765448,2.95,External,Mobile,UK,747.57,Male,CarCritic
VID0127,DIY Home Makeover,Lifestyle,07-05-2023,42786,6001,557,9229,265,154,116,11730,87.65,257,824526,9.16,External,Desktop,UK,730.54,Male,TravelLover
VID0128,DIY Home Makeover,Gaming,08-05-2023,227006,31652,882,4383,1514,564,198,13760,24.66,504,266308,8.69,Suggested,Mobile,Canada,46.35,Male,WanderlustJen
VID0129,Top Tech Innovations,Lifestyle,09-05-2023,231876,25809,2194,2961,1231,618,319,16708,83.12,236,797460,3.76,Suggested,TV,Germany,549.67,Female,FitnessPro
VID0130,Unboxing Latest Gadgets,Lifestyle,10-05-2023,400953,31155,4761,3226,1645,356,485,837,86.81,347,684050,0.8,Suggested,Desktop,Canada,466.99,Male,InspireNow
VID0131,Fitness Routines for Beginners,Technology,11-05-2023,299206,37785,2667,6837,1735,815,20,16719,92.29,586,721893,8.95,Suggested,Mobile,India,927.84,Female,TechGuru
VID0132,Street Food Tasting,Lifestyle,12-05-2023,448453,8529,4959,7031,951,646,199,12570,33.88,377,454877,8.89,External,TV,Germany,257.34,Male,GardenGuru
VID0133,Tech Reviews: Best Smartphones,Gaming,13-05-2023,314715,14816,4677,9290,1392,442,370,17195,91.36,263,729037,8.56,Suggested,TV,Canada,269.83,Male,GadgetUnboxer
VID0134,Epic Gaming Adventure,Lifestyle,14-05-2023,288654,48663,4790,9131,305,68,446,16217,38.86,73,653192,8.47,Direct,Mobile,USA,411.35,Female,ChefAntonio
VID0135,Top Tech Innovations,Technology,15-05-2023,282570,11238,1610,3716,11,522,340,14879,59.71,171,988183,4.85,Direct,TV,Germany,243.37,Male,GardenGuru
VID0136,Car Review: Latest Model,Technology,16-05-2023,38265,35398,3488,3414,1368,142,447,18372,14.55,205,202164,1.86,Suggested,Tablet,Canada,129.18,Female,FitnessPro
VID0137,Inspirational Life Stories,Gaming,17-05-2023,412066,23529,2454,1448,1488,191,247,17743,13.95,478,295543,4.83,Search,Desktop,USA,857.41,Male,AdventureSeeker
VID0138,Home Gardening Tips,Entertainment,18-05-2023,250321,5872,4494,570,1723,386,275,7371,74.83,111,857911,5,Direct,Tablet,Canada,558.28,Male,DIYExpert
VID0139,Street Food Tasting,Entertainment,19-05-2023,67150,48344,1946,2904,1689,377,263,17232,50,164,542029,4.95,Direct,Mobile,India,861.36,Female,GardenGuru
VID0140,Yoga for Stress Relief,Lifestyle,20-05-2023,88312,48619,4810,2505,1517,580,57,12278,33.07,206,833143,5.43,Suggested,Tablet,UK,831.13,Male,EduMath
VID0141,Hidden Travel Destinations,Education,21-05-2023,90613,35832,4799,917,1391,534,301,14590,27.14,412,588260,2.65,Suggested,Mobile,Canada,282.04,Female,CarCritic
VID0142,Mind-Blowing Science Experiments,Lifestyle,22-05-2023,338054,40005,2808,6982,1869,692,30,13963,70.3,272,205820,3.73,External,Mobile,Germany,547.74,Male,TravelLover
VID0143,Healthy Living Tips,Gaming,23-05-2023,315519,17447,3825,7427,936,292,497,1923,10.04,596,991761,4.4,Direct,TV,Canada,83.22,Male,FitnessPro
VID0144,Mind-Blowing Science Experiments,Gaming,24-05-2023,122826,17020,3536,6336,419,8,248,6952,82.53,170,31846,1.4,Suggested,TV,Canada,915.25,Male,FitnessPro
VID0145,Epic Gaming Adventure,Gaming,25-05-2023,36435,31922,3802,1678,888,270,92,13172,17.13,486,605984,4.61,Suggested,Mobile,Canada,404.26,Female,GameMaster
VID0146,Hidden Travel Destinations,Gaming,26-05-2023,359587,46759,4177,615,1814,386,495,11233,27.23,469,367095,8.12,External,Desktop,Canada,393.68,Female,ScienceNerd
VID0147,Healthy Living Tips,Gaming,27-05-2023,451348,40208,4699,9941,170,92,264,15211,44.76,85,732984,8.3,Direct,Desktop,Germany,302.76,Female,EduMath
VID0148,Hidden Travel Destinations,Technology,28-05-2023,211017,23663,1970,7086,133,965,270,6619,53.64,556,889840,4.17,Suggested,Desktop,Germany,460.66,Male,GameMaster
VID0149,Epic Gaming Adventure,Entertainment,29-05-2023,476266,8067,3822,4749,964,528,93,1877,41.95,448,435936,5.24,External,Tablet,Canada,251.76,Female,CalmWithYoga
VID0150,Healthy Living Tips,Gaming,30-05-2023,489618,45283,2819,3505,1450,153,153,17706,38.86,117,149514,0.43,Suggested,Mobile,UK,374.85,Male,ChefAntonio
VID0151,Mind-Blowing Science Experiments,Education,31-05-2023,135055,11971,902,4529,1048,404,393,14872,96.75,37,836099,6.78,Search,TV,Canada,799.95,Male,WanderlustJen
VID0152,Unboxing Latest Gadgets,Education,01-06-2023,491457,28863,364,1135,1553,839,284,13721,67.74,506,823305,4.11,Search,Tablet,Germany,834.26,Male,ChefAntonio
VID0153,Home Gardening Tips,Education,02-06-2023,152734,12016,4258,8566,1213,148,79,11959,12.11,244,854075,4.51,Suggested,Tablet,India,304.18,Female,CalmWithYoga
VID0154,Tech Reviews: Best Smartphones,Education,03-06-2023,286654,8834,3119,7226,1164,888,291,18261,48.72,581,645411,8.75,Direct,TV,Canada,469.01,Male,LifeCoachAnna
VID0155,Fitness Routines for Beginners,Technology,04-06-2023,210259,33713,2558,5162,1578,266,83,9596,88.75,526,896945,4.67,Search,Mobile,Canada,873.82,Male,StreetEats
